movie_id,cast_name,writer,producer,director
19995,"Sam Worthington,Zoe Saldana,Sigourney Weaver,Stephen Lang,Michelle Rodriguez,Giovanni Ribisi,Joel David Moore,CCH Pounder,Wes Studi,Laz Alonso,Dileep Rao,Matt Gerald,Sean Anthony Moran,Jason Whyte,Scott Lawrence,Kelly Kilgour,James Patrick Pitt,Sean Patrick Murphy,Peter Dillon,Kevin Dorman,Kelson Henderson,David Van Horn,Jacob Tomuri,Jon Curry,Luke Hawker,Woody Schultz,Peter Mensah,Sonia Yee,Jahnel Curfman,Ilram Choi,Kyla Warren,Lisa Roumain,Debra Wilson,Chris Mala,Taylor Kibby,Jodie Landau,Julie Lamm,Cullen B. Madden,Joseph Brady Madden,Frankie Torres,Austin Wilson,Sara Wilson,Lucy Briant,Nathan Meister,Gerry Blair,Matthew Chamberlain,Paul Yates,Wray Wilson,James Gaylyn,Melvin Leno Clark III,Carvon Futrell,Brandon Jelkes,Micah Moch,Hanniyah Muhammad,Christopher Nolen,Christa Oliver,April Marie Thomas,Bravita A. Threatt,Colin Bleasdale,Mike Bodnar,Matt Clayton,Nicole Dionne,Jamie Harrison,Allan Henry,Anthony Ingruber,Ashley Jeffery,Dean Knowsley,Terry Notary,Kai Pantano,Logan Pithyou,Stuart Pollock,Raja,Gareth Ruck,Rhian Sheehan,T. J. Storm,Jodie Taylor,Richard Whiteside,Nikie Zambo,Julene Renee",James Cameron,"James Cameron,Jon Landau",James Cameron
285,"Johnny Depp,Orlando Bloom,Keira Knightley,Bill Nighy,Geoffrey Rush,Jack Davenport,Kevin McNally,Tom Hollander,Naomie Harris,Jonathan Pryce,Keith Richards,Lee Arenberg,Mackenzie Crook,Greg Ellis,David Bailie,Martin Klebba,David Schofield,Lauren Maher,Vanessa Branch,Angus Barnett,Giles New,Reggie Lee,Dominic Scott Kay,Takayo Fischer,David Meunier,Andy Beckwith,Peter Donald Badalamenti II,Christopher S. Capp,Keith Richards,Ghassan Massoud",,"Jerry Bruckheimer,Eric McLeod,Chad Oman,Peter Kohn,Pat Sandston",Gore Verbinski
206647,"Daniel Craig,Christoph Waltz,Ralph Fiennes,Monica Bellucci,Ben Whishaw,Naomie Harris,Dave Bautista,Andrew Scott,Rory Kinnear,Jesper Christensen,Alessandro Cremona,Stephanie Sigman,Tenoch Huerta,Adriana Paz,Domenico Fortunato,Marco Zingaro,Stefano Elfi DiClaudia,Ian Bonar,Tam Williams,Richard Banham,Pip Carter,Simon Lenagan,Alessandro Bressanello,Marc Zinga,Brigitte Millar,Adel Bencherif,Gediminas Adomaitis,Peppe Lanzetta,Francesco Arca,Matteo Taranto,Emilio Aniba,Benito Sagredo,Dai Tabuchi,George Lasha,Sargon Yelda,Andy Cheung,Erick Hayden,Oleg Mirochnikov,Antonio Salines,Miloud Mourad Benamara,Gido Schimanski,Nigel Barber,Patrice Naiambana,Stephane Cornicard,Gary Fannin,Sadao Ueda,Phillip Law,Wai Wong,Joseph Balderrama,Eiji Mihara,Junichi Kajioka,Harald Windisch,Tristan Matthiae,Detlef Bothe,Bodo Friesecke,Wilhem Iben,Noemi Krausz,Noah Saavedra,Francis Attakpah,Michael Glantschnig,Marlon Boess,Marie Wohlmuth,Lili Epply,Konstantin Gerlach,Lara Parmiani,Umit Ulgen,Amra Mallassi,Ziad Abaza,Walid Mumuni,Derek Horsham,Michael White,Adam McGrady,Nader Dernaika,Pezhmaan Alinia,Judi Dench,Neve Gachev,Karl Farrer,Kim Adis,Maurisa Selene Coleman",,"Barbara Broccoli,Michael G. Wilson",Sam Mendes
49026,"Christian Bale,Michael Caine,Gary Oldman,Anne Hathaway,Tom Hardy,Marion Cotillard,Morgan Freeman,Cillian Murphy,Juno Temple,Liam Neeson,Matthew Modine,Alon Aboutboul,Ben Mendelsohn,Nestor Carbonell,Josh Pence,Tom Conti,Joey King,Warren Brown,Daniel Sunjata,Sam Kennard,Aliash Tepina,Nick Julian,Miranda Nolan,Claire Julien,Aidan Gillen,Burn Gorman,Brett Cullen,Reggie Lee,Joseph Lyle Taylor,Chris Ellis,Duane Henry,James Harvey Ward,Gonzalo Menendez,Cameron Jack,Lex Daniel,Tyler Dean Flores,Thomas Lennon,Trevor White,Rob Brown,Fredric Lehne,Courtney Munch,Chris Hill,Travis Guba,Jay Benedict,Will Estes,David Dayan Fisher,Glen Powell,Russ Fega,Brent Briscoe,John Nolan,Oliver Cotton,Mark Killeen,Sarah Goldberg,John MacMillan,Robert Wisdom,Ronnie Gene Blevins,John Hollingworth,Ian Bohen,Uri Gavriel,Noel Gugliemi,Hector Atreyu Ruiz,Patrick Cox,Aramis Knight,Josh Stewart,William Devane,David Gyasi,Patrick Jordan,Joshua Elijah Reese,Desmond Harrington,Mychael Bates,Tomas Arana,Peter Holden,David Monahan,Jillian Armenante,Aja Evans,Aldous Davidson,Wade Williams,Jake Canuso,Massi Furlan,Christopher Judge,Patrick Leahy,Todd Gearhart,Marc Abbink,Isiah Adams,Charlie Alejandro,Robert Arensen,Grant Babbitt,Fileena Bahris,Rick Bolander,Kyle Patrick Brennan,Scott Churchson,Bill Cowher,Graham Curry,Stephanie Domini Ehlert,John Farrer,Frank Fata,Christopher Bryan Gomez,Vito Grassi,Michael Wren Gucciardo,Sam Harris,Ed Heavey,John W. Iwanonkiw,Cindy Jackson,Daniel Jordano,William Kania,Tiffany Kemp,Sun Jae Kim,Hrvoje Klecz,Alex Kruz,Tyler La Marr,LeJon,Paul Jude Letersky,Joe Lipari,Silvia Lombardo,Jorge Mardel,Cale McConnell,David Dale McCue,Tiffany Sander McKenzie,Allen Merritt,Olan Montgomery,Alex Moore,Shane Nolan,Jackson Nunn,Michael Papajohn,Salomon Passariello,Kyle David Pierce,Troy Polamalu,Michael Power,James Rawlings,Kirsten Roeters,Ben Roethlisberger,Mark Roman,Anthony J. Sacco,Eric Salazar,Emily Schooley,Thomas Tull,Chris Vaina,Vincent van Ommen,Michelle Vezzani,Barbara Vincent,Justin Michael Woods,Jason Yee,Maria Zambrana,John Zion,Alex Ziwak,Tommy Bayiokos,Matthew Gooley,Jeff Moffitt,Mark Falvo,Diogo Hausen,Gary Sievers,Orion McCabe,London May,James Quinn,Daniel Newman",,"Charles Roven,Christopher Nolan,Emma Thomas",Christopher Nolan
49529,"Taylor Kitsch,Lynn Collins,Samantha Morton,Willem Dafoe,Thomas Haden Church,Mark Strong,Dominic West,James Purefoy,Bryan Cranston,Polly Walker,Daryl Sabara,Arkie Reece,Davood Ghadami,Pippa Nixon,James Embree,Philip Philmar,Emily Tierney,Edmund Kente,Nicholas Woodeson,Kyle Agnew,Don Stark,Josh Daugherty,Jared Cyr,Christopher Goodman,Amanda Clayton,Joseph Billingiere",,"Colin Wilson,Jim Morris,Lindsey Collins",Andrew Stanton
559,"Tobey Maguire,Kirsten Dunst,James Franco,Thomas Haden Church,Topher Grace,Bryce Dallas Howard,Rosemary Harris,James Cromwell,J.K. Simmons,Theresa Russell,Dylan Baker,Bill Nunn,Elizabeth Banks,Ted Raimi,Willem Dafoe,Cliff Robertson,Elya Baskin,Mageina Tovah,Michael Papajohn,Joe Manganiello,Stan Lee,Bruce Campbell,Christopher Young,Grant Curtis,Daniel Gillies,John Paxton,Becky Ann Baker,Steve Valentine,Hal Fishman,Lucy Gordon,Toni Wynne,Andre B. Blake,Tim Maculan,Marc Vann,Joe Bays,Gregg Daniel,Rogelio T. Ramos,Timothy Patrick Quill,Kathryn Bryding,Joe Virzi,Bill E. Rogers,Michael Alexander,Edward Padilla,Robert Curtis Brown,Paul Terrell Clayton,Carolyn Neff,Christina Cindrich,Sonya Maddox,Jessi Collins,Michael McLaughlin,Anne Gartlan,Emilio Rivera,Keith Woulard,Reynaldo Gallegos,Jim Coope,Dean Edwards,Margaret Laney,Aimee Miles,Tanya Bond,Mark Kubr,Tony Besson,Ramon Adams,A.J. Adelman,Angelis Alexandris,Dawn Marie Anderson,Frank Anello,Anya Avaeva,David Backus,Tiffany L. Baker,Marc C. Cancassi,Sujeilee Candele,Michael Ciesla,Irina Costa,John Crann,Crystal Marie Denha,Amy V. Dewhurst,Paul Edney,Natalie Fabry,Keith Fausnaught,Amanda Florian,Brianna Leann Florian,Tiffany Ashley Florian,Shaun Patrick Flynn,Logan Fry,Kevin Fung,Tony Galtieri,Chuck Gerena,Brian Hopson,Claude Jay,Julie Jei,Andrew James Jones,Natalie Jones,Christopher Jude,Brittany Krall,Alyssa Lakota,Tia Latrell,Linda Lee,Pierangeli Llinas,Bernadette Lords,Sandrine Marlier,Laura McDavid,Natalie McNeil,Daniel Mignault,Martha Millan,Claudia Katz Minnick,Robert Myers,Jen Oda,Anjelia Pelay,Nick Poltoranin,Vanessa Reseland,La Rivers,Bria Roberts,Luis Rosa,Vanessa Ross,Brenna Roth,Shade Rupe,Arick Salmea,Eric Shackelford,Daniel Shafer,Abbey Skinner,Kristin Somo,Jennifer Sparks,Christopher Stadulis,Jimmy Star,Arne Starr,Liam Stone,Tajna Tanovic,Aija Terauda,Brigid Turner,Evelyn Vaccaro,Nick Vlassopoulos,Sincerely A. Ward,Silq Webster,Graig F. Weich,Fredrick Weiss,Jennifer Weston,Trenton Willey,Ray Wineteer",,"Laura Ziskin,Avi Arad,Grant Curtis",Sam Raimi
38757,"Zachary Levi,Mandy Moore,Donna Murphy,Ron Perlman,M.C. Gainey,Jeffrey Tambor,Brad Garrett,Paul F. Tompkins,Richard Kiel,Delaney Rose Stein,Nathan Greno,Byron Howard,Tim Mertens",,Roy Conli,"Byron Howard,Nathan Greno"
99861,"Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans,Scarlett Johansson,Jeremy Renner,James Spader,Samuel L. Jackson,Don Cheadle,Elizabeth Olsen,Paul Bettany,Cobie Smulders,Anthony Mackie,Hayley Atwell,Idris Elba,Linda Cardellini,Claudia Kim,Thomas Kretschmann,Andy Serkis,Julie Delpy,Stan Lee,Henry Goodman,Chris Luca,Brian Schaeffer,Isaac Andrews,Gareth Kieran Jones,Chan Woo Lim,Minhee Yeo,Bentley Kalu,Julian Bleach,Christopher Beasley,Vuyo Dabula,Nondumiso Tembe,Kabelo Thai,Lele Leowaba,Mandla Gaduka,Harriet Manamela,Beulah Hashe,Musca Kumalo,Mathapelo September,Antony Acheampong,Chioma Anyanwu,Ben Sakamoto,Imogen Poynton,Isabella Poynton,Ingvild Deila,Sunny Yeo,Namju Go,Mina Kweon,Earl T. Kim,Arthur Lee,Verity Hewlett,Michael Matovski,Alma Noce,Riccardo Richetta,Constanza Ruff,Julia Krynke,Tony Christensen,Ian Kay,Barry Aird,Aaron Himelstein,Kerry Condon,Jaiden Stafford,Dilyana Bouklieva,Josh Brolin,Joti Nagra,Nick W. Nicholson,Daniel Westwood",Joss Whedon,Kevin Feige,Joss Whedon
767,"Daniel Radcliffe,Rupert Grint,Emma Watson,Tom Felton,Michael Gambon,Jim Broadbent,Helena Bonham Carter,Robbie Coltrane,Maggie Smith,Alan Rickman,Timothy Spall,David Thewlis,Julie Walters,Matthew Lewis,Evanna Lynch,Bonnie Wright,Oliver Phelps,James Phelps,Mark Williams,Warwick Davis,Natalia Tena,Katie Leung,Dave Legeno,Geraldine Somerville,Helen McCrory,Freddie Stroma,David Bradley,Frank Dillane,Gemma Jones,Afshan Azad,Shefali Chowdhury,Georgina Leonidas,Devon Murray,Anna Shaffer,Josh Herdman,Jamie Waylett,Scarlett Byrne,Jessie Cave,Louis Cordice,Alfie Enoch,Robert Knox,William Melling,Paul Ritter,Isabella Laughland,Ralph Ineson,Suzanne Toase,Rod Hunt,Elarica Gallacher",,"David Heyman,David Barron,Tim Lewis",David Yates
209112,"Ben Affleck,Henry Cavill,Gal Gadot,Amy Adams,Jesse Eisenberg,Diane Lane,Jeremy Irons,Laurence Fishburne,Holly Hunter,Scoot McNairy,Callan Mulvey,Tao Okamoto,Jena Malone,Brandon Spink,Lauren Cohan,Hugh Maguire,Michael Cassidy,Alan D. Purwin,Dan Amboyer,Rebecca Buller,Harry Lennix,Christina Wren,Jade Chynoweth,Chad Krowchuk,Kevin Costner,Ezra Miller,Patrick Wilson,Michael Shannon,Charlie Rose,Vikram Gandhi,Andrew Sullivan,Neil deGrasse Tyson,Jon Stewart,Erika R. Erickson,Dana Bash,Nancy Grace,Anderson Cooper,Brooke Baldwin,Carla Gugino,Jason Momoa,Joe Morton,Ray Fisher,Joseph Cranford,Emily Peterson,Jeffrey Dean Morgan,Sammi Rotibi,Hanna Dworkin,Tiffany L. Addison,Owais Ahmed,Anish Jethmalani,Tiffany Bedwell,Natalee Arteaga,Keith D. Gallagher,Jeff Dumas,Miriam Lee,Alicia Regan,Stephanie Koenig,Ripley Sobo,Richard Burden,Julius Tennon,Wunmi Mosaku,Dennis North,Kiff VandenHeuvel,Mason Heidger,Ahney Her,Kristine Cabanban,Sebastian Sozzi,Kent Shocknek,Ralph Lister,Sammy A. Publes,Jay R. Adams,David Midura,Jay Towers,Michael Ellison,Kirill Ostapenko,Rashontae Wawrzyniak,Tom Luginbill,Dave Pasch,Danny Mooney ,Henry Frost III,Nicole Forester,Debbie Stabenow,Milica Govich ,John Lepard,Sandra Love Aldridge,Graham W.J. Beal,Henri Franklin,Jonathan West,T.J. Martinelli,Chris Newman,Lulu Dahl,Sam Logan Khaleghi,Anne Marie Damman,Connie Craig,Henrietta Hermelin,Patrick Leahy,Albert Valladares,David Paris,Abigail Kuklis,Greg Violand,Tiren Jhames,Steve Jasgur,Jonathan Stanley,Jesse Nagy,Duvale Murchison,Thomas J. Fentress,Coburn Goss,Jeff Hanlin,Gary A. Hecker,Robin Atkin Downes,Issac Ryan Brown,Barton Bund,Bailey Chase,Sonja Crosby,C.T. Fletcher,Ahman Green,Diana Gaitirira,Jalene Mack,Esodie Geiger,Nene Nwoko,Scott Edward Logan,Marcus Goddard,Alma Martinez,Sal Lopez,Marcel Shihadeh,Theo Bongani Ndyalvane,Satori Shakoor,Ele Bardha,Inder Kumar,Brandon Bautista,Laura Atwood,Debbie Scaletta,David Leach,Gordon Michaels,Brian Boland,Taras Los,Jason Hughley,Sidi Henderson,Meighan Gerachis,Nicole Santini,Axel Harney,Wayne E. Brown,Dante Briggins,Shannon Garnett,Lynch R. Travis,Carmen Gangale,Joe Cipriano,Will Blagrove,Marcelo Bem",,"Charles Roven,Deborah Snyder",Zack Snyder
